task_key,soc_2010,1p_api_task_count,claude_ai_task_count,1p_api_automation_count,claude_ai_automation_count,1p_api_augmentation_count,claude_ai_augmentation_count,total_task_count,total_automation_count,total_augmentation_count
"analyze information to determine, recommend, and plan computer specifications and layouts, and peripheral equipment modifications.",15-1132,951.0,3188.0,572.0,923.0,180.0,2151.0,4139.0,1495.0,2331.0
"modify existing software to correct errors, to adapt it to new hardware, or to upgrade interfaces and improve performance.",15-1133,139921.0,70015.0,112866.0,49736.0,19629.0,19514.0,209936.0,162602.0,39143.0
develop or direct software system testing or validation procedures.,15-1133,7325.0,1280.0,5357.0,619.0,912.0,635.0,8605.0,5976.0,1547.0
direct software programming and development of documentation.,15-1133,2055.0,1981.0,1533.0,1007.0,233.0,925.0,4036.0,2540.0,1158.0
"consult with customers or other departments on project status, proposals, or technical issues, such as software system design or maintenance.",15-1133,92.0,720.0,0.0,124.0,0.0,559.0,812.0,124.0,559.0
"analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.",15-1133,407.0,560.0,256.0,235.0,26.0,283.0,967.0,491.0,309.0
"consult with engineering staff to evaluate interface between hardware and software, develop specifications and performance requirements, or resolve customer problems.",15-1133,0.0,86.0,0.0,0.0,0.0,38.0,86.0,0.0,38.0
"design or develop software systems, using scientific analysis and mathematical models to predict and measure outcome and consequences of design.",15-1133,572.0,1497.0,407.0,787.0,83.0,654.0,2069.0,1194.0,737.0
"prepare reports or correspondence concerning project specifications, activities, or status.",15-1133,489.0,1224.0,382.0,459.0,43.0,740.0,1713.0,841.0,783.0
confer with data processing or project managers to obtain information on limitations or capabilities for data processing projects.,15-1133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"store, retrieve, and manipulate data for analysis of system capabilities and requirements.",15-1133,15541.0,6269.0,12597.0,3891.0,1182.0,2196.0,21810.0,16488.0,3378.0
coordinate installation of software system.,15-1133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monitor functioning of equipment to ensure system operates in conformance with specifications.,15-1133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"supervise and assign work to programmers, designers, technologists, technicians, or other engineering or scientific personnel.",15-1133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
advise customer about or perform maintenance of software system.,15-1133,20.0,135.0,0.0,0.0,0.0,79.0,155.0,0.0,79.0
train users to use new or modified equipment.,15-1133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
specify power supply requirements and configuration.,15-1133,0.0,101.0,0.0,0.0,0.0,16.0,101.0,0.0,16.0
"evaluate factors such as reporting formats required, cost constraints, or need for security restrictions to determine hardware configuration.",15-1133,168.0,1861.0,96.0,475.0,40.0,1323.0,2029.0,571.0,1363.0
"use microcontrollers to develop control signals, implement control algorithms, or measure process variables, such as temperatures, pressures, or positions.",15-1133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"recommend purchase of equipment to control dust, temperature, or humidity in area of system installation.",15-1133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"design, build, or maintain web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",15-1134,37015.0,54271.0,30064.0,32290.0,5396.0,21299.0,91286.0,62354.0,26695.0
perform or direct web site updates.,15-1134,60.0,0.0,47.0,0.0,0.0,0.0,60.0,47.0,0.0
"write, design, or edit web page content, or direct others producing content.",15-1134,6746.0,9351.0,5419.0,4673.0,683.0,4523.0,16097.0,10092.0,5206.0
"confer with management or development teams to prioritize needs, resolve conflicts, develop content criteria, or choose solutions.",15-1134,24.0,88.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0
back up files from web sites to local directories for instant recovery in case of problems.,15-1134,17.0,18.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0
"identify problems uncovered by testing or customer feedback, and correct problems or refer problems to appropriate personnel for correction.",15-1134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"evaluate code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems.",15-1134,17164.0,1405.0,11655.0,442.0,1930.0,899.0,18569.0,12097.0,2829.0
"maintain understanding of current web technologies or programming practices through continuing education, reading, or participation in professional conferences, workshops, or groups.",15-1134,901.0,2182.0,267.0,251.0,181.0,1870.0,3083.0,518.0,2051.0
analyze user needs to determine technical requirements.,15-1134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
develop or validate test routines and schedules to ensure that test cases mimic external interfaces and address all browser and device types.,15-1134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
develop databases that support web applications and web sites.,15-1134,162.0,252.0,115.0,133.0,0.0,64.0,414.0,248.0,64.0
renew domain name registrations.,15-1134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collaborate with management or users to develop e-commerce strategies and to integrate these strategies with web sites.,15-1134,452.0,980.0,336.0,337.0,22.0,604.0,1432.0,673.0,626.0
write supporting code for web applications or web sites.,15-1134,9622.0,15881.0,7892.0,9586.0,1005.0,6071.0,25503.0,17478.0,7076.0
communicate with network personnel or web site hosting agencies to address hardware or software issues affecting web sites.,15-1134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"design and implement web site security measures, such as firewalls or message encryption.",15-1134,94.0,301.0,40.0,96.0,0.0,165.0,395.0,136.0,165.0
"perform web site tests according to planned schedules, or after any web site or product revision.",15-1134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"select programming languages, design tools, or applications.",15-1134,0.0,66.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0
"incorporate technical considerations into web site design plans, such as budgets, equipment, performance requirements, or legal issues including accessibility and privacy.",15-1134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"respond to user email inquiries, or set up automated systems to send responses.",15-1134,402.0,208.0,264.0,79.0,0.0,0.0,610.0,343.0,0.0
develop or implement procedures for ongoing web site revision.,15-1134,3243.0,2932.0,2512.0,1432.0,456.0,1451.0,6175.0,3944.0,1907.0
develop and document style guidelines for web site content.,15-1134,577.0,1022.0,478.0,496.0,45.0,448.0,1599.0,974.0,493.0
"develop web site maps, application models, image templates, or page templates that meet project goals, user needs, or industry standards.",15-1134,1290.0,1869.0,1094.0,966.0,101.0,840.0,3159.0,2060.0,941.0
establish appropriate server directory trees.,15-1134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
identify or maintain links to and from other web sites and check links to ensure proper functioning.,15-1134,324.0,160.0,258.0,77.0,0.0,0.0,484.0,335.0,0.0
recommend and implement performance improvements.,15-1134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
create searchable indices for web page content.,15-1134,757.0,108.0,686.0,76.0,0.0,0.0,865.0,762.0,0.0
register web sites with search engines to increase web site traffic.,15-1134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"provide clear, detailed descriptions of web site specifications, such as product features, activities, software, communication protocols, programming languages, and operating systems software and hardware.",15-1134,190.0,754.0,123.0,251.0,0.0,440.0,944.0,374.0,440.0
monitor security system performance logs to identify problems and notify security specialists when problems occur.,15-1134,195.0,114.0,125.0,17.0,0.0,33.0,309.0,142.0,33.0
"create web models or prototypes that include physical, interface, logical, or data models.",15-1134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
evaluate or recommend server hardware or software.,15-1134,1737.0,3543.0,1190.0,810.0,409.0,2674.0,5280.0,2000.0,3083.0
"document test plans, testing procedures, or test results.",15-1134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"research, document, rate, or select alternatives for web architecture or technologies.",15-1134,64.0,203.0,37.0,45.0,0.0,133.0,267.0,82.0,133.0
"document technical factors such as server load, bandwidth, database performance, and browser and device types.",15-1134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
install and configure hypertext transfer protocol (http) servers and associated operating systems.,15-1134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
develop system interaction or sequence diagrams.,15-1134,272.0,697.0,153.0,232.0,31.0,398.0,969.0,385.0,429.0
"test programs or databases, correct errors, and make necessary modifications.",15-1141,54783.0,9603.0,38059.0,6401.0,7494.0,3036.0,64386.0,44460.0,10530.0
modify existing databases and database management systems or direct programmers and analysts to make changes.,15-1141,4458.0,6791.0,3590.0,4328.0,623.0,2403.0,11249.0,7918.0,3026.0
"plan, coordinate and implement security measures to safeguard information in computer files against accidental or unauthorized damage, modification or disclosure.",15-1141,659.0,624.0,448.0,207.0,32.0,395.0,1283.0,655.0,427.0
work as part of a project team to coordinate database development and determine project scope and limitations.,15-1141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
write and code logical and physical database descriptions and specify identifiers of database to management system or direct others in coding descriptions.,15-1141,214.0,734.0,148.0,419.0,0.0,290.0,948.0,567.0,290.0
train users and answer questions.,15-1141,51.0,47.0,15.0,0.0,0.0,0.0,98.0,15.0,0.0
specify users and user access levels for each segment of database.,15-1141,165.0,325.0,117.0,179.0,0.0,123.0,490.0,296.0,123.0
"approve, schedule, plan, and supervise the installation and testing of new products and improvements to computer systems such as the installation of new databases.",15-1141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
review project requests describing database user needs to estimate time and cost required to accomplish project.,15-1141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
develop standards and guidelines to guide the use and acquisition of software and to protect vulnerable information.,15-1141,2042.0,1165.0,1302.0,343.0,336.0,774.0,3207.0,1645.0,1110.0
review procedures in database management system manuals for making changes to database.,15-1141,594.0,1004.0,217.0,280.0,284.0,706.0,1598.0,497.0,990.0
develop methods for integrating different products so they work properly together such as customizing commercial databases to fit specific needs.,15-1141,2231.0,3018.0,1679.0,1379.0,301.0,1592.0,5249.0,3058.0,1893.0
"develop data model describing data elements and how they are used, following procedures and using pen, template or computer software.",15-1141,1202.0,996.0,888.0,330.0,164.0,635.0,2198.0,1218.0,799.0
select and enter codes to monitor database performance and to create production database.,15-1141,38.0,36.0,19.0,0.0,0.0,0.0,74.0,19.0,0.0
"establish and calculate optimum values for database parameters, using manuals and calculator.",15-1141,54.0,150.0,0.0,22.0,0.0,43.0,204.0,22.0,43.0
revise company definition of data as defined in data dictionary.,15-1141,95.0,33.0,66.0,0.0,0.0,0.0,128.0,66.0,0.0
"review workflow charts developed by programmer analyst to understand tasks computer will perform, such as updating records.",15-1141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
identify and evaluate industry trends in database systems to serve as a source of information and advice for upper management.,15-1141,0.0,185.0,0.0,46.0,0.0,94.0,185.0,46.0,94.0
"maintain and administer computer networks and related computing environments including computer hardware, systems software, applications software, and all configurations.",15-1142,382.0,314.0,243.0,117.0,0.0,142.0,696.0,360.0,142.0
perform data backups and disaster recovery operations.,15-1142,66.0,132.0,41.0,15.0,0.0,46.0,198.0,56.0,46.0
"diagnose, troubleshoot, and resolve hardware, software, or other network and system problems, and replace defective components when necessary.",15-1142,29625.0,58458.0,23419.0,42648.0,3652.0,14594.0,88083.0,66067.0,18246.0
"plan, coordinate, and implement network security measures to protect data, software, and hardware.",15-1142,835.0,1690.0,611.0,667.0,106.0,1002.0,2525.0,1278.0,1108.0
"configure, monitor, and maintain email applications or virus protection software.",15-1142,47.0,69.0,22.0,0.0,0.0,0.0,116.0,22.0,0.0
"operate master consoles to monitor the performance of computer systems and networks, and to coordinate computer network access and use.",15-1142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"load computer tapes and disks, and install software and printer paper or forms.",15-1142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"design, configure, and test computer hardware, networking software and operating system software.",15-1142,81.0,122.0,47.0,22.0,0.0,18.0,203.0,69.0,18.0
"monitor network performance to determine whether adjustments need to be made, and to determine where changes will need to be made in the future.",15-1142,590.0,180.0,413.0,65.0,0.0,39.0,770.0,478.0,39.0
confer with network users about how to solve existing system problems.,15-1142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"research new technologies by attending seminars, reading trade articles, or taking classes, and implement or recommend the implementation of new technologies.",15-1142,0.0,182.0,0.0,41.0,0.0,107.0,182.0,41.0,107.0
analyze equipment performance records to determine the need for repair or replacement.,15-1142,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
"implement and provide technical support for voice services and equipment, such as private branch exchange, voice mail system, and telecom system.",15-1142,120.0,245.0,77.0,80.0,0.0,102.0,365.0,157.0,102.0
maintain an inventory of parts for emergency repairs.,15-1142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"recommend changes to improve systems and network configurations, and determine hardware or software requirements related to such changes.",15-1142,21.0,220.0,0.0,45.0,0.0,136.0,241.0,45.0,136.0
"gather data pertaining to customer needs, and use the information to identify, predict, interpret, and evaluate system and network requirements.",15-1142,87.0,0.0,81.0,0.0,0.0,0.0,87.0,81.0,0.0
train people in computer system use.,15-1142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coordinate with vendors and with company personnel to facilitate purchases.,15-1142,0.0,41.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0
"perform routine network startup and shutdown procedures, and maintain control records.",15-1142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"maintain logs related to network functions, as well as maintenance and repair records.",15-1142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjust network sizes to meet volume or capacity demands.,15-1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"communicate with customers, sales staff, or marketing staff to determine customer needs.",15-1143,110.0,105.0,44.0,20.0,0.0,0.0,215.0,64.0,0.0
communicate with system users to ensure accounts are set up properly or to diagnose and solve operational problems.,15-1143,85.0,0.0,36.0,0.0,0.0,0.0,85.0,36.0,0.0
coordinate installation of new equipment.,15-1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"coordinate network operations, maintenance, repairs, or upgrades.",15-1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coordinate network or design activities with designers of associated networks.,15-1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"design, build, or operate equipment configuration prototypes, including network hardware, software, servers, or server operation systems.",15-1143,0.0,34.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0
"design, organize, and deliver product awareness, skills transfer, or product education sessions for staff or suppliers.",15-1143,20.0,72.0,17.0,0.0,0.0,0.0,92.0,17.0,0.0
"determine specific network hardware or software requirements, such as platforms, interfaces, bandwidths, or routine schemas.",15-1143,0.0,74.0,0.0,0.0,0.0,15.0,74.0,0.0,15.0
develop and implement solutions for network problems.,15-1143,210.0,273.0,184.0,139.0,0.0,79.0,483.0,323.0,79.0
"develop and write procedures for installation, use, or troubleshooting of communications hardware or software.",15-1143,15.0,165.0,0.0,15.0,0.0,64.0,180.0,15.0,64.0
"develop conceptual, logical, or physical network designs.",15-1143,0.0,103.0,0.0,20.0,0.0,35.0,103.0,20.0,35.0
develop disaster recovery plans.,15-1143,0.0,41.0,0.0,20.0,0.0,0.0,41.0,20.0,0.0
develop network-related documentation.,15-1143,0.0,62.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0
develop or maintain project reporting systems.,15-1143,29.0,101.0,16.0,23.0,0.0,51.0,130.0,39.0,51.0
"develop or recommend network security measures, such as firewalls, network security audits, or automated security probes.",15-1143,215.0,962.0,129.0,242.0,20.0,687.0,1177.0,371.0,707.0
develop plans or budgets for network equipment replacement.,15-1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"develop procedures to track, project, or report network availability, reliability, capacity, or utilization.",15-1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
estimate time and materials needed to complete projects.,15-1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
evaluate network designs to determine whether customer requirements are met efficiently and effectively.,15-1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
explain design specifications to integration or test engineers.,15-1143,0.0,79.0,0.0,0.0,0.0,62.0,79.0,0.0,62.0
"maintain networks by performing activities such as file addition, deletion, or backup.",15-1143,928.0,631.0,686.0,407.0,0.0,197.0,1559.0,1093.0,197.0
"maintain or coordinate the maintenance of network peripherals, such as printers.",15-1143,0.0,57.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0
"monitor and analyze network performance and data input/output reports to detect problems, identify inefficient use of computer resources, or perform capacity planning.",15-1143,1090.0,256.0,719.0,131.0,15.0,78.0,1346.0,850.0,93.0
"participate in network technology upgrade or expansion projects, including installation of hardware and software and integration testing.",15-1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prepare design presentations and proposals for staff or customers.,15-1143,65.0,193.0,16.0,74.0,0.0,109.0,258.0,90.0,109.0
"prepare detailed network specifications, including diagrams, charts, equipment configurations, or recommended technologies.",15-1143,63.0,475.0,18.0,174.0,0.0,244.0,538.0,192.0,244.0
"prepare or monitor project schedules, budgets, or cost control systems.",15-1143,117.0,321.0,63.0,69.0,0.0,204.0,438.0,132.0,204.0
research and test new or modified hardware or software products to determine performance and interoperability.,15-1143,0.0,38.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0
supervise engineers or other staff in the design or implementation of network solutions.,15-1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
use network computer-aided design (cad) software packages to optimize network designs.,15-1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"visit vendors, attend conferences or training sessions, or study technical journals to keep up with changes in technology.",15-1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"communicate with vendors to gather information about products, alert them to future needs, resolve problems, or address system maintenance issues.",15-1143,61.0,171.0,57.0,69.0,0.0,81.0,232.0,126.0,81.0
"communicate with telecommunications vendors to obtain pricing and technical specifications for available hardware, software, or services.",15-1143,17.0,203.0,0.0,88.0,0.0,93.0,220.0,88.0,93.0
"keep abreast of changes in industry practices and emerging telecommunications technology by reviewing current literature, talking with colleagues, participating in educational programs, attending meetings or workshops, or participating in professional organizations or conferences.",15-1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"implement or perform preventive maintenance, backup, or recovery procedures.",15-1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"consult with users, administrators, and engineers to identify business and technical requirements for proposed system modifications or technology purchases.",15-1143,18.0,118.0,0.0,50.0,0.0,0.0,136.0,50.0,0.0
assess existing facilities' needs for new or modified telecommunications systems.,15-1143,0.0,81.0,0.0,0.0,0.0,15.0,81.0,0.0,15.0
"order or maintain inventory of telecommunications equipment for customer premises equipment (cpe), facilities, access networks, or backbone networks.",15-1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"install, or coordinate installation of, new or modified hardware, software, or programming modules of telecommunications systems.",15-1143,26.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0
"develop, maintain, or implement telecommunications disaster recovery plans to ensure business continuity.",15-1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"monitor and analyze system performance, such as network traffic, security, and capacity.",15-1143,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
estimate costs for system or component implementation and operation.,15-1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"implement system renovation projects in collaboration with technical staff, engineering consultants, installers, and vendors.",15-1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
provide user support by diagnosing network and device problems and implementing technical or procedural solutions.,15-1143,556.0,122.0,430.0,32.0,16.0,0.0,678.0,462.0,16.0
document procedures for hardware and software installation and use.,15-1143,0.0,142.0,0.0,52.0,0.0,15.0,142.0,52.0,15.0
"test and evaluate hardware and software to determine efficiency, reliability, or compatibility with existing systems.",15-1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"work with personnel and facilities management staff to install, remove, or relocate user connectivity equipment and devices.",15-1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"inspect sites to determine physical configuration, such as device locations and conduit pathways.",15-1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
supervise maintenance of telecommunications equipment.,15-1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"review and evaluate requests from engineers, managers, and technicians for system modifications.",15-1143,51.0,0.0,15.0,0.0,0.0,0.0,51.0,15.0,0.0
"document user support activity, such as system problems, corrective actions, resolution status, and completed equipment installations.",15-1143,145.0,0.0,102.0,0.0,0.0,0.0,145.0,102.0,0.0
"prepare purchase requisitions for computer hardware and software, networking and telecommunications equipment, test equipment, cabling, or tools.",15-1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
document technical specifications and operating standards for telecommunications equipment.,15-1143,155.0,396.0,111.0,121.0,0.0,234.0,551.0,232.0,234.0
"instruct in use of voice, video, and data communications systems.",15-1143,47.0,586.0,0.0,101.0,0.0,410.0,633.0,101.0,410.0
prepare system activity and performance reports.,15-1143,677.0,76.0,385.0,31.0,17.0,0.0,753.0,416.0,17.0
"use computer-aided design (cad) software to prepare or evaluate network diagrams, floor plans, or site configurations for existing facilities, renovations, or new systems.",15-1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"implement controls to provide security for operating systems, software, and data.",15-1143,2912.0,247.0,1725.0,73.0,166.0,105.0,3159.0,1798.0,271.0
manage user access to systems and equipment through account management and password administration.,15-1143,3212.0,594.0,2165.0,260.0,184.0,308.0,3806.0,2425.0,492.0
oversee the daily performance of computer systems.,15-1151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
answer user inquiries regarding computer software or hardware operation to resolve problems.,15-1151,398.0,748.0,249.0,284.0,71.0,375.0,1146.0,533.0,446.0
enter commands and observe system functioning to verify correct operations and detect errors.,15-1151,625.0,49.0,193.0,0.0,38.0,0.0,674.0,193.0,38.0
"set up equipment for employee use, performing or ensuring proper installation of cables, operating systems, or appropriate software.",15-1151,273.0,1749.0,168.0,934.0,34.0,758.0,2022.0,1102.0,792.0
"install and perform minor repairs to hardware, software, or peripheral equipment, following design or installation specifications.",15-1151,507.0,2104.0,438.0,1534.0,43.0,522.0,2611.0,1972.0,565.0
"maintain records of daily data communication transactions, problems and remedial actions taken, or installation activities.",15-1151,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
"read technical manuals, confer with users, or conduct computer diagnostics to investigate and resolve problems or to provide technical assistance and support.",15-1151,453.0,187.0,342.0,36.0,0.0,67.0,640.0,378.0,67.0
refer major hardware or software problems or defective products to vendors or technicians for service.,15-1151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"develop training materials and procedures, or train users in the proper use of hardware or software.",15-1151,20.0,197.0,0.0,77.0,0.0,93.0,217.0,77.0,93.0
"confer with staff, users, and management to establish requirements for new systems or modifications.",15-1151,66.0,145.0,49.0,81.0,0.0,0.0,211.0,130.0,0.0
"prepare evaluations of software or hardware, and recommend improvements or upgrades.",15-1151,100.0,336.0,29.0,86.0,0.0,233.0,436.0,115.0,233.0
"read trade magazines and technical manuals, or attend conferences and seminars to maintain knowledge of hardware and software.",15-1151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"hire, supervise, and direct workers engaged in special project work, problem solving, monitoring, and installing data communication equipment and software.",15-1151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inspect equipment and read order sheets to prepare for delivery to users.,15-1151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modify and customize commercial programs for internal needs.,15-1151,2754.0,2834.0,2240.0,1449.0,388.0,1341.0,5588.0,3689.0,1729.0
"conduct office automation feasibility studies, including workflow analysis, space design, or cost comparison analysis.",15-1151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
back up network data.,15-1152,49.0,115.0,0.0,16.0,0.0,0.0,164.0,16.0,0.0
configure security settings or access permissions for groups or individuals.,15-1152,3517.0,634.0,2217.0,249.0,432.0,339.0,4151.0,2466.0,771.0
analyze and report computer network security breaches or attempted breaches.,15-1152,5376.0,1166.0,4093.0,501.0,555.0,609.0,6542.0,4594.0,1164.0
"identify the causes of networking problems, using diagnostic testing software and equipment.",15-1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
document network support activities.,15-1152,18.0,0.0,16.0,0.0,0.0,0.0,18.0,16.0,0.0
configure wide area network (wan) or local area network (lan) routers or related equipment.,15-1152,0.0,19.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
"install network software, including security or firewall software.",15-1152,0.0,104.0,0.0,16.0,0.0,0.0,104.0,16.0,0.0
troubleshoot network or connectivity problems for users or user groups.,15-1152,4102.0,5087.0,2995.0,3030.0,592.0,1977.0,9189.0,6025.0,2569.0
provide telephone support related to networking or connectivity issues.,15-1152,92.0,0.0,61.0,0.0,0.0,0.0,92.0,61.0,0.0
"evaluate local area network (lan) or wide area network (wan) performance data to ensure sufficient availability or speed, to identify network problems, or for disaster recovery purposes.",15-1152,34.0,29.0,15.0,0.0,0.0,0.0,63.0,15.0,0.0
"analyze network data to determine network usage, disk space availability, or server function.",15-1152,277.0,174.0,185.0,74.0,0.0,56.0,451.0,259.0,56.0
perform routine maintenance or standard repairs to networking components or equipment.,15-1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"configure and define parameters for installation or testing of local area network (lan), wide area network (wan), hubs, routers, switches, controllers, multiplexers, or related networking equipment.",15-1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"install new hardware or software systems or components, ensuring integration with existing network systems.",15-1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"test computer software or hardware, using standard diagnostic testing equipment and procedures.",15-1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"install or repair network cables, including fiber optic cables.",15-1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"monitor industry websites or publications for information about patches, releases, viruses, or potential problem identification.",15-1152,141.0,232.0,124.0,82.0,0.0,98.0,373.0,206.0,98.0
create or update technical documentation for network installations or changes to existing installations.,15-1152,0.0,23.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0
train users in procedures related to network applications software or related systems.,15-1152,0.0,19.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
test repaired items to ensure proper operation.,15-1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
install and configure wireless networking equipment.,15-1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maintain logs of network activity.,15-1152,55.0,0.0,39.0,0.0,0.0,0.0,55.0,39.0,0.0
document help desk requests and resolutions.,15-1152,407.0,0.0,314.0,0.0,0.0,0.0,407.0,314.0,0.0
research hardware or software products to meet technical networking or security needs.,15-1152,538.0,1115.0,390.0,302.0,118.0,747.0,1653.0,692.0,865.0
"create or revise user instructions, procedures, or manuals.",15-1152,17.0,230.0,0.0,101.0,0.0,118.0,247.0,101.0,118.0
run monthly network reports.,15-1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"design test plans, scenarios, scripts, or procedures.",15-1199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test system modifications to prepare for implementation.,15-1199,4856.0,245.0,3493.0,132.0,585.0,51.0,5101.0,3625.0,636.0
"develop testing programs that address areas such as database impacts, software scenarios, regression testing, negative testing, error or bug retests, or usability.",15-1199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
